plant_material_key
Plant
Material
Material Description
Region
top_60_flag
source_plant
BUn
Product hierarchy
Basic material
Basic material 2
MRP Typ
MRP Controller
PuRGrp
DelFlag
MtlSt_XPlt
MtlSt_Plt
X-Chn Mtl St
SG
ProcType
Spec Proc
ABC
MTyp
IPT
PDT
GRT
TRLT
Planning time fence
LotSize
Min. Lot Sze
Rounding val.
Max. Lot Size
Fix. lot size
BUn_1
Safety Stock
Reorder Point
Threshold Qty
AvaiChk
Consumption mode
Bwd cons. per.
Fwd cons.period
BkFlush
PSloc
Language
Tot Valuated Stk
Total Value
Standard price
Price Un
SLife
Propos.SA
ESLoc
R. Profile
ProdS
